FEATUREID	AreaSqKM	P_High	P_Mod	P_VeryHigh	P_TotalFire
20326311	1.8819	NA	NA	17.47220416	17.47220416
20326313	3.0996	NA	NA	0.345100417	0.345100417
20326325	2.2653	NA	NA	4.649454031	4.649454031
20326327	3.8529	NA	NA	15.65367859	15.65367859
20326329	1.9656	NA	NA	3.045831887	3.045831887
20326335	5.5161	NA	NA	8.236351707	8.236351707
20326337	7.4727	NA	NA	1.834538139	1.834538139
20326339	2.4156	NA	NA	1.874479737	1.874479737
20326341	1.0728	31.43758803	NA	1.080455796	32.51804382
20326343	3.942	3.165662169	NA	2.415680783	5.581342952
20326351	12.9753	16.9040844	NA	5.642688876	22.54677328
20326353	2.862	NA	NA	8.779626534	8.779626534
20326355	1.2213	NA	NA	0.024015574	0.024015574
20326357	3.1527	NA	NA	41.29139863	41.29139863
20326363	3.8871	NA	NA	13.6429365	13.6429365
20326369	10.1133	3.020491827	NA	5.251292017	8.271783844
20326371	0.7443	NA	0.705862068	50.74452944	51.45039151
20326373	0.7236	NA	1.102681247	39.90077694	41.00345819
20326375	3.9258	NA	NA	0.01295425	0.01295425
20326377	1.1682	NA	9.568120008	41.5149678	51.08308781
20326379	3.3138	NA	0.730717819	5.543424457	6.274142276
20326381	1.161	NA	1.738820723	20.40832565	22.14714638
20326383	1.5408	NA	1.016322724	10.91109241	11.92741513
20326385	22.0311	NA	8.853421399	50.22946634	59.08288774
20326387	11.6379	0.608848405	16.03955368	48.43945347	65.08785556
20326389	2.4084	NA	3.400119759	10.65834654	14.0584663
20326391	2.9277	NA	7.737209533	12.48956746	20.226777
20326393	2.0574	NA	1.445610175	7.810200258	9.255810432
20326395	2.6604	NA	2.571224259	0.780679566	3.351903825
20326397	3.6081	NA	NA	19.58285483	19.58285483
20326399	3.078	NA	1.477575982	26.83937045	28.31694644
20326401	1.2312	NA	1.316522664	0.016397997	1.332920661
20326405	1.5174	NA	1.38629356	2.478650777	3.864944337
20326407	2.3337	NA	NA	14.97283712	14.97283712
20326409	1.8468	NA	0.013301755	44.29473662	44.30803838
20326411	1.3059	NA	4.910958241	27.20528068	32.11623892
20326413	2.5056	NA	NA	49.35972261	49.35972261
20326417	2.9889	NA	NA	81.02598503	81.02598503
20326419	1.584	NA	NA	61.73574924	61.73574924
20326423	2.1762	38.76273285	NA	61.23726763	100.0000005
20326425	10.998	1.678587224	NA	51.19454136	52.87312858
20326427	3.2625	3.056241844	NA	51.87579572	54.93203757
20326429	3.0393	NA	NA	60.66330612	60.66330612
20326431	7.6284	NA	NA	45.50008922	45.50008922
20326433	1.5021	NA	NA	99.99999877	99.99999877
20326435	2.6559	NA	NA	34.20089138	34.20089138
20326437	0.7146	NA	NA	69.88673068	69.88673068
20326445	0.6885	NA	NA	25.95130189	25.95130189
20326447	0.0153	44.53837484	NA	55.46164413	100.000019
20326449	0.0936	NA	NA	19.86702869	19.86702869
20326451	0.0441	NA	NA	85.33026858	85.33026858
20326453	0.0189	NA	NA	95.92577148	95.92577148
20326455	0.1125	NA	80.53963917	19.25281794	99.79245711
20326457	0.1575	NA	99.99998654	NA	99.99998654
20326459	0.0369	NA	99.99998354	NA	99.99998354
20326461	1.9035	NA	16.00100586	58.44460037	74.44560623
20326463	0.3249	NA	53.78395837	21.18634067	74.97029904
20326465	0.3438	30.29915747	NA	69.70083998	99.99999744
20326469	7.9452	24.84873996	NA	48.29011529	73.13885525
20326477	0.6696	23.23119843	NA	15.03184673	38.26304515
20326479	1.6515	NA	19.74807697	40.91868822	60.66676519
20326481	0.0369	NA	100.000036	NA	100.000036
20326483	0.3969	NA	53.05912789	37.00970518	90.06883307
20326485	0.2484	NA	63.01345668	25.14588722	88.15934391
20326487	0.0171	NA	99.99992912	NA	99.99992912
20326489	0.5364	NA	19.34811353	25.67607168	45.02418521
20326491	0.2016	NA	54.91208757	11.84159061	66.75367818
